Unique_Tag,Tree,Distance,Transect,Tag,Species_23,X,Y,ST_21,HT_21,Notes_21,Sumbission.Id_2021,ST_22,HT_22,Notes_2022,Quad_Notes_2022,Submission.Id_2023,Status_2022,Height_2022,Notes_22,ST_23,HT_23,Notes_2023
040979_240_2.103,40979,2,240,103,BETSP,32,91,P,NA,NA,NA,A,3,BETSP,0b678182-8d47-412a-896b-bab7f1839fc5,a4c0e62d-62e4-4156-a7af-a23dab5d7827,A,3,BETSP,A,4,NA
070864_240_6.115,70864,6,240,115,TSUCAN,32,33,P,NA,NA,NA,A,3,NA,d8af8a78-0c61-41f0-8d3c-38d0c69351eb,b3b2b9f6-8a12-40bd-84f3-4f4a90ea86d8,A,3,NA,D,NA,NA
072196_120_2.78,72196,2,120,78,TSUCAN,32,10,A,3,NA,87812726-83e4-4783-99ab-6737fe8b9903,A,3,NA,8f688338-47c0-4a61-9a0b-d26d71ca9135,ec76770e-085a-4e4f-ba8a-eb0bdf6b5a9d,A,3,NA,CFS,NA,NA
051094_240_2.43,51094,2,240,43,TSUCAN,31,60,A,3,NA,f61f5b6c-ec98-4a93-95cb-c493a8082c7d,A,3,NA,81b8d566-0627-48fd-85aa-fa4efb7c5d1e,7a8fb7a1-45ba-4e0b-a4f7-a064ea3d4aad,A,3,NA,D,NA,NA
091572_0_6.17,91572,6,0,17,TSUCAN,30,20,A,3,NA,d39eb725-f4ff-46e3-ab60-ce50df006c32,A,3,NA,d6934e6c-505c-49dc-a8da-eb2ef6835aec,996b3fdc-ea20-418b-81ec-104fa082fa89,A,3,NA,D,NA,NA
040979_120_2.118,40979,2,120,118,BETSP,29,10,P,NA,NA,NA,A,3,Betsp,f37f6c3f-6696-446e-861d-b5ee7f13f115,da694891-3c7c-4217-bd07-dd91ca2b6f33,A,3,Betsp,D,NA,NA
051094_240_2.85,51094,2,240,85,TSUCAN,28,35,A,2,NA,f61f5b6c-ec98-4a93-95cb-c493a8082c7d,A,3,NA,81b8d566-0627-48fd-85aa-fa4efb7c5d1e,7a8fb7a1-45ba-4e0b-a4f7-a064ea3d4aad,A,3,NA,D,NA,NA
281194_240_2.47,281194,2,240,47,TSUCAN,27,62,A,2,NA,d1f11696-ce85-469f-a384-b84219742299,A,3,NA,1e30673f-a3fa-4d17-9163-d0bb1385e038,e782b464-e640-45e5-ab62-7e8bb808aadc,A,3,NA,D,NA,NA
072196_240_6.110,72196,6,240,110,BETSP,25,36,A,3,NA,62054420-f656-411a-83b7-a70e2f37e622,A,3,NA,26bd2377-27a2-4f7f-a951-0c38f0229ba5,42cce858-2da5-473b-b74c-1862d48c7a2f,A,3,NA,D,NA,NA
072007_120_2.105,72007,2,120,105,BETSP,22,99,P,NA,NA,NA,A,3,"No tag, too small —BET SP",42c53222-121c-4117-a0cb-ddd76905e6ac,bfb350ad-6e87-467a-bc96-36586797607e,A,3,"No tag, too small —BET SP",CFS,NA,NA
