"","num_to_ht","num_needed","min_time_to_ht","med_time_to_ht","species","canopy","trial"
"336",14,71.4285714285714,17,26,3,2,34
"337",0,Inf,NA,NA,4,1,34
"338",1,1000,16,17,4,2,34
"339",0,Inf,NA,NA,5,1,34
"340",2,500,33,43.5,5,2,34
"341",0,Inf,NA,NA,1,1,35
"342",1,1000,37,41.5,1,2,35
"343",3,333.333333333333,18,21,2,1,35
"344",154,6.49350649350649,11,29,2,2,35
"345",0,Inf,NA,NA,3,1,35
"346",16,62.5,18,25.5,3,2,35
"347",0,Inf,NA,NA,4,1,35
"348",3,333.333333333333,16,19,4,2,35
"349",0,Inf,NA,NA,5,1,35
"350",0,Inf,NA,NA,5,2,35
"351",2,500,31,33,1,1,36
"352",7,142.857142857143,17,25,1,2,36
"353",2,500,17,26.5,2,1,36
"354",150,6.66666666666667,10,28,2,2,36
"355",0,Inf,NA,NA,3,1,36
"356",16,62.5,16,24,3,2,36
"357",0,Inf,NA,NA,4,1,36
"358",4,250,15,22,4,2,36
"359",0,Inf,NA,NA,5,1,36
"360",3,333.333333333333,30,52,5,2,36
"361",3,333.333333333333,22,32,1,1,37
"362",3,333.333333333333,25,31,1,2,37
"363",5,200,16,19.5,2,1,37
"364",151,6.62251655629139,12,27,2,2,37
"365",0,Inf,NA,NA,3,1,37
"366",19,52.6315789473684,17,28,3,2,37
"367",0,Inf,NA,NA,4,1,37
"368",1,1000,16,17.5,4,2,37
"369",0,Inf,NA,NA,5,1,37
"370",2,500,33,37,5,2,37
"371",3,333.333333333333,21,36.5,1,1,38
"372",6,166.666666666667,28,39,1,2,38
"373",5,200,16,24,2,1,38
"374",157,6.36942675159236,10,28,2,2,38
"375",0,Inf,NA,NA,3,1,38
"376",22,45.4545454545455,15,28,3,2,38
"377",0,Inf,NA,NA,4,1,38
"378",3,333.333333333333,16,19.5,4,2,38
"379",0,Inf,NA,NA,5,1,38
"380",1,1000,37,38,5,2,38
"381",2,500,22,24.5,1,1,39
"382",4,250,26,38,1,2,39
"383",5,200,13,18,2,1,39
"384",160,6.25,10,28,2,2,39
"385",0,Inf,NA,NA,3,1,39
"386",15,66.6666666666667,15,34,3,2,39
"387",0,Inf,NA,NA,4,1,39
"388",2,500,18,20,4,2,39
"389",1,1000,44,47,5,1,39
"390",3,333.333333333333,28,36.5,5,2,39
"391",2,500,31,36.5,1,1,40
"392",3,333.333333333333,24,34,1,2,40
"393",9,111.111111111111,13,21,2,1,40
"394",153,6.5359477124183,11,29,2,2,40
"395",0,Inf,NA,NA,3,1,40
"396",19,52.6315789473684,14,26,3,2,40
"397",1,1000,23,23.5,4,1,40
"398",1,1000,22,23,4,2,40
"399",0,Inf,NA,NA,5,1,40
"400",3,333.333333333333,37,49.5,5,2,40
"401",1,1000,35,35.5,1,1,41
"402",3,333.333333333333,28,37,1,2,41
"403",2,500,19,31,2,1,41
"404",143,6.99300699300699,11,27,2,2,41
"405",0,Inf,NA,NA,3,1,41
"406",23,43.4782608695652,14,24.5,3,2,41
"407",0,Inf,NA,NA,4,1,41
"408",2,500,17,20,4,2,41
"409",0,Inf,NA,NA,5,1,41
"410",1,1000,40,46,5,2,41
"411",2,500,34,36,1,1,42
"412",3,333.333333333333,27,32,1,2,42
"413",5,200,15,17,2,1,42
"414",150,6.66666666666667,10,29,2,2,42
"415",1,1000,26,30,3,1,42
"416",19,52.6315789473684,17,24,3,2,42
